Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
90.694	484.00	477.04	0.0020962	-92.707	8.7507	-0.96895	2.2639	3.2250	1803.4	-0.052299	0.00037563	0.24889	liquid
102.69	484.00	464.76	0.0021517	-56.741	47.399	-0.56873	2.2033	3.2189	1730.4	-0.051765	0.00023877	0.23768	liquid
103.69	484.00	463.74	0.0021564	-53.752	50.618	-0.53754	2.1989	3.2189	1724.2	-0.051704	0.00023156	0.23666	liquid
104.69	484.00	462.72	0.0021611	-50.763	53.837	-0.50665	2.1945	3.2189	1718.0	-0.051640	0.00022476	0.23564	liquid
105.69	484.00	461.70	0.0021659	-47.775	57.055	-0.47605	2.1902	3.2189	1711.8	-0.051575	0.00021834	0.23461	liquid
106.69	484.00	460.68	0.0021707	-44.788	60.274	-0.44574	2.1859	3.2189	1705.6	-0.051508	0.00021228	0.23357	liquid
107.69	484.00	459.66	0.0021755	-41.803	63.493	-0.41571	2.1816	3.2189	1699.4	-0.051440	0.00020654	0.23252	liquid
108.69	484.00	458.64	0.0021804	-38.818	66.712	-0.38595	2.1774	3.2190	1693.2	-0.051369	0.00020111	0.23147	liquid
109.69	484.00	457.62	0.0021852	-35.834	69.931	-0.35648	2.1732	3.2190	1687.0	-0.051298	0.00019596	0.23041	liquid
110.69	484.00	456.60	0.0021901	-32.851	73.150	-0.32726	2.1691	3.2190	1680.8	-0.051225	0.00019106	0.22934	liquid
111.69	484.00	455.58	0.0021950	-29.869	76.369	-0.29831	2.1650	3.2191	1674.6	-0.051150	0.00018641	0.22827	liquid
112.69	484.00	454.56	0.0021999	-26.888	79.588	-0.26962	2.1609	3.2191	1668.4	-0.051074	0.00018198	0.22720	liquid
113.69	484.00	453.54	0.0022049	-23.908	82.807	-0.24118	2.1568	3.2192	1662.2	-0.050996	0.00017776	0.22612	liquid
114.69	484.00	452.52	0.0022098	-20.929	86.027	-0.21299	2.1528	3.2192	1656.0	-0.050917	0.00017373	0.22504	liquid
115.69	484.00	451.50	0.0022148	-17.951	89.246	-0.18504	2.1488	3.2192	1649.8	-0.050837	0.00016989	0.22396	liquid
116.69	484.00	450.48	0.0022198	-14.975	92.465	-0.15734	2.1448	3.2193	1643.6	-0.050755	0.00016622	0.22287	liquid
117.69	484.00	449.47	0.0022249	-11.999	95.684	-0.12987	2.1408	3.2193	1637.5	-0.050672	0.00016270	0.22178	liquid
118.69	484.00	448.45	0.0022299	-9.0243	98.904	-0.10263	2.1369	3.2193	1631.3	-0.050587	0.00015934	0.22069	liquid
119.69	484.00	447.43	0.0022350	-6.0508	102.12	-0.075622	2.1330	3.2193	1625.1	-0.050500	0.00015611	0.21960	liquid
120.69	484.00	446.41	0.0022401	-3.0785	105.34	-0.048838	2.1291	3.2193	1619.0	-0.050413	0.00015302	0.21850	liquid
121.69	484.00	445.39	0.0022452	-0.10725	108.56	-0.022274	2.1252	3.2193	1612.9	-0.050323	0.00015005	0.21741	liquid
122.69	484.00	444.37	0.0022504	2.8628	111.78	0.0040713	2.1214	3.2193	1606.7	-0.050232	0.00014720	0.21631	liquid
123.69	484.00	443.35	0.0022555	5.8317	115.00	0.030203	2.1175	3.2193	1600.6	-0.050140	0.00014445	0.21522	liquid
124.69	484.00	442.33	0.0022607	8.7994	118.22	0.056124	2.1137	3.2192	1594.5	-0.050046	0.00014181	0.21412	liquid
125.69	484.00	441.31	0.0022660	11.766	121.44	0.081838	2.1099	3.2192	1588.4	-0.049951	0.00013926	0.21303	liquid
