Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
54.361	306.00	1337.4	0.00074775	-197.04	-174.16	2.0242	1.1343	1.5747	1211.6	-0.040340	0.00096648	0.21220	liquid
58.361	306.00	1322.1	0.00075634	-190.93	-167.78	2.1374	1.1066	1.6111	1211.7	-0.038925	0.00078655	0.20769	liquid
59.361	306.00	1318.3	0.00075857	-189.38	-166.17	2.1648	1.1022	1.6173	1208.8	-0.038685	0.00074879	0.20655	liquid
60.361	306.00	1314.4	0.00076082	-187.83	-164.55	2.1919	1.0982	1.6224	1205.1	-0.038481	0.00071355	0.20540	liquid
61.361	306.00	1310.5	0.00076309	-186.28	-162.93	2.2186	1.0944	1.6265	1200.8	-0.038310	0.00068065	0.20425	liquid
62.361	306.00	1306.5	0.00076538	-184.72	-161.30	2.2449	1.0907	1.6297	1196.0	-0.038166	0.00064992	0.20310	liquid
63.361	306.00	1302.6	0.00076769	-183.16	-159.67	2.2708	1.0871	1.6320	1190.8	-0.038046	0.00062121	0.20195	liquid
64.361	306.00	1298.7	0.00077002	-181.60	-158.03	2.2964	1.0834	1.6337	1185.4	-0.037946	0.00059436	0.20080	liquid
65.361	306.00	1294.7	0.00077236	-180.03	-156.40	2.3216	1.0798	1.6347	1179.7	-0.037863	0.00056923	0.19964	liquid
66.361	306.00	1290.8	0.00077471	-178.47	-154.76	2.3464	1.0760	1.6352	1173.9	-0.037793	0.00054571	0.19849	liquid
67.361	306.00	1286.9	0.00077708	-176.91	-153.13	2.3709	1.0722	1.6352	1167.9	-0.037735	0.00052366	0.19733	liquid
68.361	306.00	1282.9	0.00077946	-175.35	-151.49	2.3950	1.0683	1.6349	1161.8	-0.037686	0.00050298	0.19618	liquid
69.361	306.00	1279.0	0.00078186	-173.78	-149.86	2.4187	1.0644	1.6343	1155.6	-0.037643	0.00048357	0.19503	liquid
70.361	306.00	1275.1	0.00078427	-172.22	-148.23	2.4421	1.0604	1.6333	1149.4	-0.037607	0.00046534	0.19387	liquid
71.361	306.00	1271.1	0.00078669	-170.67	-146.59	2.4652	1.0564	1.6322	1143.1	-0.037574	0.00044819	0.19272	liquid
72.361	306.00	1267.2	0.00078913	-169.11	-144.96	2.4879	1.0524	1.6309	1136.8	-0.037543	0.00043205	0.19157	liquid
73.361	306.00	1263.3	0.00079158	-167.55	-143.33	2.5102	1.0483	1.6295	1130.5	-0.037514	0.00041684	0.19042	liquid
74.361	306.00	1259.4	0.00079404	-166.00	-141.70	2.5323	1.0441	1.6280	1124.1	-0.037486	0.00040251	0.18926	liquid
75.361	306.00	1255.5	0.00079652	-164.45	-140.08	2.5540	1.0400	1.6264	1117.8	-0.037457	0.00038898	0.18811	liquid
76.361	306.00	1251.5	0.00079901	-162.90	-138.45	2.5755	1.0359	1.6248	1111.5	-0.037426	0.00037620	0.18696	liquid
77.361	306.00	1247.6	0.00080152	-161.35	-136.83	2.5966	1.0317	1.6231	1105.2	-0.037394	0.00036411	0.18581	liquid
78.361	306.00	1243.7	0.00080404	-159.81	-135.20	2.6174	1.0276	1.6215	1098.9	-0.037360	0.00035268	0.18466	liquid
79.361	306.00	1239.8	0.00080658	-158.26	-133.58	2.6380	1.0235	1.6198	1092.7	-0.037323	0.00034184	0.18351	liquid
80.361	306.00	1235.9	0.00080914	-156.72	-131.96	2.6582	1.0194	1.6182	1086.4	-0.037282	0.00033157	0.18236	liquid
